,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
0,2024-06-06,sz.300033,113.63,113.65,111.53,111.95,112.92,4234344.0,475735802.31,3,1.5483,1,-0.859,43.482663,16.843,66700.6951,9.638756,0.0
1,2024-06-07,sz.300033,112.6,113.41,110.43,111.93,111.95,4015757.0,449627255.76,3,1.4683,1,-0.0179,43.474894,16.839991,66688.778942,9.637034,0.0
2,2024-06-11,sz.300033,111.0,112.9,110.56,112.43,111.93,3300384.0,370018261.4,3,1.2068,1,0.4467,43.6691,16.915216,66986.682895,9.680083,0.0
3,2024-06-12,sz.300033,112.14,113.57,111.92,113.13,112.43,3392709.0,383582407.73,3,1.2405,1,0.6226,43.940988,17.020532,67403.74843,9.740353,0.0
4,2024-06-13,sz.300033,113.45,113.88,112.27,112.9,113.13,3330046.0,376724776.43,3,1.2176,1,-0.2033,43.851654,16.985928,67266.712611,9.72055,0.0
5,2024-06-14,sz.300033,112.66,116.81,112.66,115.8,112.9,7561067.0,868304462.94,3,2.7647,1,2.5686,44.978047,17.422237,68994.555539,9.970236,0.0
6,2024-06-17,sz.300033,114.07,115.31,113.15,114.64,115.8,4497538.0,514532521.46,3,1.6445,1,-1.0017,44.527489,17.247713,68303.418368,9.870362,0.0
7,2024-06-18,sz.300033,114.66,116.0,114.14,115.09,114.64,4979587.0,573424388.2,3,1.8208,1,0.3925,44.702275,17.315416,68571.531926,9.909106,0.0
8,2024-06-19,sz.300033,115.53,115.55,112.81,112.85,115.09,4322202.0,491057605.39,3,1.5804,1,-1.9463,43.832233,16.978406,67236.922216,9.716245,0.0
9,2024-06-20,sz.300033,112.79,112.79,110.6,110.69,112.85,4720801.0,525069080.37,3,1.7261,1,-1.914,42.993264,16.653431,65949.977139,9.530272,0.0
10,2024-06-21,sz.300033,110.58,111.52,110.46,110.73,110.69,2909051.0,322838877.19,3,1.0637,1,0.0361,43.008801,16.659449,65973.809455,9.533716,0.0
11,2024-06-24,sz.300033,110.0,110.75,108.68,108.9,110.73,3883200.0,425841252.71,3,1.4199,1,-1.6527,42.298008,16.384124,64883.480986,9.376155,0.0
12,2024-06-25,sz.300033,108.94,109.88,106.0,106.66,108.9,4297602.0,461975483.43,3,1.5714,1,-2.0569,41.427966,16.047114,63548.871277,9.183294,0.0
13,2024-06-26,sz.300033,107.0,111.44,106.22,110.9,106.66,5593682.0,611857918.65,3,2.0453,1,3.9752,43.074831,16.685026,66075.096799,9.548352,0.0
14,2024-06-27,sz.300033,110.0,110.79,107.55,107.69,110.9,3382440.0,369164365.0,3,1.2368,1,-2.8945,41.82803,16.202078,64162.55342,9.271975,0.0
15,2024-06-28,sz.300033,108.09,109.6,100.01,103.7,107.69,7780578.0,820096864.99,3,2.8449,1,-3.7051,40.278268,15.601778,61785.279874,8.928441,0.0
16,2024-07-01,sz.300033,102.5,104.62,100.01,102.02,103.7,5916783.0,601773745.37,3,2.1634,1,-1.6201,39.625737,15.34902,60784.322592,8.783795,0.0
17,2024-07-02,sz.300033,102.03,102.99,100.03,100.4,102.02,4649549.0,471398777.65,3,1.7001,1,-1.5879,38.99651,15.10529,59819.113784,8.644315,0.0
18,2024-07-03,sz.300033,101.09,101.13,97.85,98.47,100.4,6210812.0,613449834.68,3,2.271,1,-1.9223,38.246876,14.814919,58669.204525,8.478145,0.0
19,2024-07-04,sz.300033,98.7,99.2,93.1,93.28,98.47,10881294.0,1031139203.47,3,3.9787,1,-5.2706,36.231021,14.034078,55576.961491,8.031292,0.0
20,2024-07-05,sz.300033,93.0,97.0,93.0,95.6,93.28,7712986.0,735935424.45,3,2.8202,1,2.4871,37.132135,14.383124,56959.235834,8.231041,0.0
21,2024-07-08,sz.300033,94.8,96.93,94.11,95.31,95.6,4963877.0,475967693.19,3,1.815,1,-0.3033,37.019496,14.339494,56786.451541,8.206073,0.0
22,2024-07-09,sz.300033,95.98,97.87,95.25,97.17,95.31,6725885.0,651175041.47,3,2.4593,1,1.9515,37.741941,14.619333,57894.654247,8.366216,0.0
23,2024-07-10,sz.300033,96.57,97.85,95.95,96.23,97.17,4466417.0,432432952.52,3,1.6331,1,-0.9674,37.376835,14.477909,57334.594815,8.285284,0.0
24,2024-07-11,sz.300033,98.3,101.35,97.8,99.13,96.23,8061857.0,801867202.67,3,2.9478,1,3.0136,38.503228,14.914217,59062.437743,8.53497,0.0
25,2024-07-12,sz.300033,98.78,99.05,97.32,98.03,99.13,3818168.0,374209639.24,3,1.3961,1,-1.1097,38.075975,14.748721,58407.049046,8.440261,0.0
26,2024-07-12,sz.300033,98.78,99.05,97.32,98.03,99.13,3818168.0,374209639.24,3,1.3961,1,-1.1097,38.075975,14.748721,58407.049046,8.440261,0.0
27,2024-07-15,sz.300033,97.9,98.23,97.2,97.67,98.03,2454247.0,239587693.81,3,0.8974,1,-0.3672,37.936147,14.694558,58192.5582,8.409266,0.0
