code,name,industry
301275,N汉朔,计算机软件
603271,N永杰,基本金属
873726,卓兆点胶,电子设备制造
870199,倍益康,医疗器械
920116,星图测控,计算机软件
300630,*ST普利,化学制药
300466,赛摩智能,输变电设备
301176,逸豪新材,电子元件
300819,聚杰微纤,纺织
300907,康平科技,通用设备
920008,成电光信,电子设备制造
300896,爱美客,医疗器械
301005,超捷股份,汽车
300895,铜牛信息,互联网服务
688680,海优新材,电源设备
833943,优机股份,通用设备
688357,建龙微纳,化学制品
300167,*ST迪威,通信设备
301600,慧翰股份,电子设备制造
688693,锴威特,半导体
300441,鲍斯股份,通用设备
688001,华兴源创,专用设备
300296,利亚德,光电子器件
300042,朗科科技,计算机硬件
920106,林泰新材,汽车
833429,康比特,食品
301160,翔楼新材,金属制品
688037,芯源微,专用设备
000903,云内动力,汽车
000017,深中华A,珠宝首饰
000697,炼石航空,航空航天装备
000014,沙河股份,房地产开发
000592,平潭发展,林业
605155,西大门,其他轻工
605303,园林股份,建筑施工
603206,嘉环科技,通信设备
600589,大位科技,互联网服务
002875,安奈儿,服装家纺
003025,思进智能,专用设备
002574,明牌珠宝,珠宝首饰
600967,内蒙一机,地面装备
603716,塞力医疗,医药商业
600718,东软集团,计算机软件
002760,凤形股份,金属制品
002105,信隆健康,其他交运设备
603881,数据港,互联网技术
002292,奥飞娱乐,影视动漫
605100,华丰股份,通用设备
000880,潍柴重机,通用设备
000831,中国稀土,稀有金属
603717,天域生物,畜牧业
600560,金自天正,专用设备
600539,狮头股份,其他家电
002183,怡 亚 通,贸易
002175,东方智造,通用设备
000815,美利云,造纸印刷
000678,襄阳轴承,汽车
000665,湖北广电,广播电视
603267,鸿远电子,电子元件
001282,三联锻造,汽车
300726,宏达电子,电子元件
600818,中路股份,其他交运设备
600506,统一股份,石油天然气
603968,醋化股份,化学制品
603678,火炬电子,电子元件
002196,方正电机,电机
605296,神农集团,畜牧业
603958,哈森股份,服装家纺
002921,联诚精密,汽车
000655,金岭矿业,铁矿石
605069,正和生态,环保
603326,我乐家居,家具
600735,新华锦,其他轻工
002238,天威视讯,广播电视
002195,岩山科技,互联网服务
600610,中毅达,化学制品
600936,广西广电,广播电视
002377,国创高新,石油天然气
688311,盟升电子,通信设备
836961,西磁科技,专用设备
688288,鸿泉物联,电子设备制造
300521,爱司凯,专用设备
920108,宏海科技,白色家电
831641,格利尔,电子元件
600126,杭钢股份,钢铁
300964,本川智能,电子设备制造
920098,科隆新材,橡胶制品
920082,方正阀门,通用设备
000519,中兵红箭,金属非金属新材料
688375,国博电子,电子元件
605298,必得科技,铁路设备
003010,若羽臣,营销服务
300553,集智股份,通用设备
300952,恒辉安防,纺织
300476,胜宏科技,电子元件
600327,大东方,医疗服务
300083,创世纪,专用设备
837821,则成电子,电子元件
603568,伟明环保,环保
300153,科泰电源,专用设备
000581,威孚高科,汽车
600848,上海临港,房地产开发
920002,万达轴承,通用设备
603477,巨星农牧,畜牧业
301586,佳力奇,航空航天装备
300887,谱尼测试,专业服务
688395,正弦电气,电机
002992,宝明科技,电子设备制造
603375,盛景微,电子设备制造
002155,湖南黄金,贵金属
603193,润本股份,化学制品
000409,云鼎科技,互联网服务
300863,卡倍亿,汽车
002335,科华数据,电源设备
301139,元道通信,通信设备
300423,昇辉科技,其他电气设备
603868,飞科电器,小家电
002426,胜利精密,消费电子设备
836270,天铭科技,通用设备
301592,六九一二,计算机软件
002713,东易日盛,装修装饰
300849,锦盛新材,化学制品
002662,京威股份,汽车
000733,振华科技,电子元件
688750,金天钛业,稀有金属
300738,奥飞数据,互联网技术
837006,晟楠科技,航空航天装备
002653,海思科,化学制药
600238,海南椰岛,饮料
002568,百润股份,饮料
301585,蓝宇股份,化学制品
300662,科锐国际,专业服务
301226,祥明智能,其他电气设备
870436,大地电气,汽车
688636,智明达,计算机硬件
300132,青松股份,化学制品
300108,*ST吉药,中药生产
688166,博瑞医药,化学制药
002149,西部材料,金属非金属新材料
301277,新天地,化学制药
920111,聚星科技,其他电气设备
873339,恒太照明,照明设备
601208,东材科技,化学新材料
000911,广农糖业,食品
